org_base	org_derived	POS	derivation_prefix,deravation_suffix	base	derived
беше	бешый	N.ADJ		беш	беш
бешый	беше	ADJ.ADV	,	беш	беше
всевышний	всевышнить	ADJ.V		всевышн	всевышн
всевышнить	всевышний	V.N	,.ий	всевышн	всевышний
живе	живый	N.ADJ		жив	жив
живый	живе	ADJ.ADV	,	жив	живе
като	катый	N.ADJ		кат	кат
катый	като	ADJ.ADV	,	кат	като
митингующий	митингующить	ADJ.V		митингующ	митингующ
митингующить	митингующий	V.N	,.ий	митингующ	митингующий
нохчо	нохчий	N.ADJ		нохч	нохч
нохчий	нохчо	ADJ.ADV	,	нохч	нохчо
объять	объятой	V.ADJ	,.т	объя	объят
объятой	объять	ADJ.N		объят	объят
ский	скить	ADJ.V		ск	ск
скить	ский	V.N	,.ий	ск	ский
полне	полний	N.ADJ		полн	полн
полний	полне	ADJ.ADV	,	полн	полне
последни	последний	N.ADJ	,и.	последни	последн
последний	последни	ADJ.ADV	,.и	последн	последни
снять	снятой	V.ADJ	,.т	сня	снят
снятой	снять	ADJ.N		снят	снят
стопудово	стопудовый	N.ADJ		стопудов	стопудов
стопудовый	стопудово	ADJ.ADV	,	стопудов	стопудово
тро	трый	N.ADJ		тр	тр
трый	тро	ADJ.ADV	,	тр	тро
шой	шить	ADJ.V		ш	ш
шить	шой	V.N	,.й	ш	шой
худо	худый	N.ADJ		худ	худ
худый	худо	ADJ.ADV	,	худ	худо
чернокожий	чернокожить	ADJ.V		чернокож	чернокож
чернокожить	чернокожий	V.N	,.ий	чернокож	чернокожий
